Date/Time,Temp_C,Dew Point Temp_C,Rel Hum_%,Wind Speed_km/h,Visibility_km,Press_kPa,Weather Condition
1/3/2012 19:00,-16.9,-24.8,50,24,25.0,101.74,Clear
1/5/2012 18:00,-7.1,-14.4,56,11,25.0,100.71,Clear
1/5/2012 19:00,-9.2,-15.4,61,7,25.0,100.8,Clear
1/5/2012 20:00,-9.8,-15.7,62,9,25.0,100.83,Clear
1/5/2012 21:00,-9.0,-14.8,63,13,25.0,100.83,Clear
1/11/2012 1:00,-10.7,-17.8,56,17,25.0,101.49,Clear
1/11/2012 2:00,-12.0,-18.9,56,19,25.0,101.57,Clear
1/11/2012 3:00,-12.7,-19.4,57,19,25.0,101.64,Clear
1/11/2012 4:00,-13.4,-20.1,57,17,25.0,101.66,Clear
1/15/2012 8:00,-23.3,-28.5,62,7,24.1,102.45,Clear
1/15/2012 15:00,-15.4,-22.8,53,24,48.3,102.71,Clear
1/15/2012 16:00,-15.1,-22.8,52,24,48.3,102.79,Clear
1/15/2012 17:00,-16.2,-23.2,55,15,25.0,102.85,Clear
1/15/2012 18:00,-16.3,-22.9,57,17,25.0,102.89,Clear
1/15/2012 19:00,-16.3,-22.7,58,20,25.0,102.94,Clear
1/15/2012 20:00,-16.7,-22.4,61,17,25.0,102.98,Clear
1/15/2012 21:00,-16.9,-22.2,63,15,25.0,103.02,Clear
1/15/2012 22:00,-16.9,-21.7,66,17,25.0,103.07,Clear
1/15/2012 23:00,-16.9,-21.4,68,15,25.0,103.09,Clear
1/16/2012 0:00,-17.1,-21.9,66,15,25.0,103.09,Clear
1/16/2012 1:00,-17.8,-22.7,65,6,25.0,103.05,Clear
1/16/2012 2:00,-18.5,-23.0,68,6,25.0,103.08,Clear
1/16/2012 3:00,-19.2,-23.8,67,6,25.0,103.07,Clear
1/16/2012 4:00,-18.7,-23.5,66,0,25.0,103.05,Clear
1/16/2012 5:00,-19.1,-23.3,69,0,25.0,103.02,Clear
1/16/2012 6:00,-18.7,-23.2,68,0,25.0,103.01,Clear
1/18/2012 17:00,-11.3,-18.8,54,26,48.3,101.54,Clear
1/18/2012 18:00,-12.0,-18.2,60,22,25.0,101.67,Clear
1/18/2012 19:00,-12.7,-18.7,61,22,25.0,101.78,Clear
1/18/2012 20:00,-13.4,-19.2,62,17,25.0,101.83,Clear
1/18/2012 21:00,-13.7,-19.3,63,17,25.0,101.89,Clear
1/18/2012 22:00,-14.2,-19.8,62,13,25.0,101.92,Clear
1/18/2012 23:00,-14.9,-19.9,66,6,25.0,101.93,Clear
1/19/2012 0:00,-16.6,-20.9,69,7,25.0,101.94,Clear
1/19/2012 1:00,-15.2,-18.4,76,4,25.0,101.89,Clear
1/19/2012 2:00,-14.3,-17.4,77,6,25.0,101.86,Clear
1/19/2012 3:00,-18.0,-21.6,73,6,25.0,101.83,Clear
1/19/2012 4:00,-15.4,-18.3,78,7,25.0,101.81,Clear
1/19/2012 5:00,-16.6,-19.9,76,6,25.0,101.85,Clear
1/19/2012 6:00,-15.3,-19.7,69,6,25.0,101.83,Clear
1/19/2012 7:00,-14.6,-19.2,68,6,24.1,101.84,Clear
1/19/2012 8:00,-13.7,-18.4,68,19,48.3,101.84,Clear
1/19/2012 9:00,-12.7,-17.2,69,17,48.3,101.73,Clear
1/20/2012 9:00,-12.2,-18.1,61,32,24.1,101.59,Clear
1/20/2012 11:00,-14.2,-21.2,55,32,24.1,101.84,Clear
1/20/2012 12:00,-15.2,-22.1,56,30,24.1,101.88,Clear
1/20/2012 13:00,-15.8,-23.7,51,30,24.1,101.96,Clear
1/21/2012 14:00,-12.5,-19.7,55,13,24.1,102.01,Clear
1/21/2012 15:00,-11.8,-18.9,56,11,24.1,102.06,Clear
1/21/2012 16:00,-11.6,-18.8,55,7,48.3,102.11,Clear
1/21/2012 17:00,-12.1,-19.8,53,11,48.3,102.16,Clear
1/21/2012 18:00,-13.0,-20.2,55,6,25.0,102.24,Clear
1/21/2012 19:00,-13.4,-19.9,58,4,25.0,102.27,Clear
1/21/2012 20:00,-18.5,-24.4,60,4,25.0,102.36,Clear
1/21/2012 21:00,-16.0,-20.8,66,9,25.0,102.47,Clear
1/21/2012 22:00,-17.6,-23.3,61,0,25.0,102.52,Clear
1/22/2012 0:00,-18.3,-22.5,70,0,25.0,102.57,Clear
1/22/2012 1:00,-17.5,-21.3,72,4,25.0,102.64,Clear
1/22/2012 2:00,-18.5,-22.6,70,0,25.0,102.71,Clear
1/22/2012 21:00,-12.9,-17.2,70,15,16.1,102.38,Clear
1/26/2012 1:00,-7.0,-12.1,67,4,25.0,101.95,Clear
1/26/2012 2:00,-8.2,-12.6,71,6,25.0,101.99,Clear
1/26/2012 3:00,-8.1,-12.5,71,0,25.0,101.97,Clear
1/26/2012 4:00,-8.5,-13.5,67,0,25.0,101.95,Clear
1/26/2012 5:00,-9.0,-13.9,68,6,25.0,102.02,Clear
1/26/2012 6:00,-11.2,-15.0,73,6,25.0,102.06,Clear
1/26/2012 8:00,-9.2,-13.3,72,6,24.1,102.08,Clear
1/29/2012 23:00,-3.4,-7.6,73,15,25.0,100.85,Clear
1/30/2012 0:00,-3.7,-8.8,68,11,25.0,100.89,Clear
1/30/2012 2:00,-5.1,-10.0,68,15,25.0,100.99,Clear
1/30/2012 3:00,-6.1,-10.3,72,11,25.0,101.07,Clear
1/30/2012 4:00,-7.7,-11.8,72,11,25.0,101.19,Clear
1/30/2012 5:00,-7.9,-13.8,63,13,25.0,101.33,Clear
1/30/2012 6:00,-8.9,-15.1,61,15,25.0,101.47,Clear
1/30/2012 7:00,-9.8,-16.0,61,15,25.0,101.55,Clear
1/30/2012 8:00,-10.5,-17.0,59,9,48.3,101.68,Clear
1/30/2012 14:00,-6.7,-15.0,52,22,48.3,101.81,Clear
