,id,date,date_id,hour,day,month,year,weekday,temp_C,dew_point_temp_C,rel hum_%,wind Speed_km/h,visibility_km,press_kPa,weather_Id,weather_type
0,2012-01-01 00:00:00,2012-01-01 00:00:00,0,0,1,1,2012,,-1.8,-3.9,86,4,8.0,101.24,0,Fog
1,2012-01-01 01:00:00,2012-01-01 01:00:00,1,1,1,1,2012,,-1.8,-3.7,87,4,8.0,101.24,1,Fog
2,2012-01-01 02:00:00,2012-01-01 02:00:00,2,2,1,1,2012,,-1.8,-3.4,89,7,4.0,101.26,2,"Freezing Drizzle,Fog"
3,2012-01-01 03:00:00,2012-01-01 03:00:00,3,3,1,1,2012,,-1.5,-3.2,88,6,4.0,101.27,3,"Freezing Drizzle,Fog"
4,2012-01-01 04:00:00,2012-01-01 04:00:00,4,4,1,1,2012,,-1.5,-3.3,88,7,4.8,101.23,4,Fog
5,2012-01-01 05:00:00,2012-01-01 05:00:00,5,5,1,1,2012,,-1.4,-3.3,87,9,6.4,101.27,5,Fog
6,2012-01-01 06:00:00,2012-01-01 06:00:00,6,6,1,1,2012,,-1.5,-3.1,89,7,6.4,101.29,6,Fog
7,2012-01-01 07:00:00,2012-01-01 07:00:00,7,7,1,1,2012,,-1.4,-3.6,85,7,8.0,101.26,7,Fog
8,2012-01-01 08:00:00,2012-01-01 08:00:00,8,8,1,1,2012,,-1.4,-3.6,85,9,8.0,101.23,8,Fog
9,2012-01-01 09:00:00,2012-01-01 09:00:00,9,9,1,1,2012,,-1.3,-3.1,88,15,4.0,101.2,9,Fog
10,2012-01-01 10:00:00,2012-01-01 10:00:00,10,10,1,1,2012,,-1.0,-2.3,91,9,1.2,101.15,10,Fog
11,2012-01-01 11:00:00,2012-01-01 11:00:00,11,11,1,1,2012,,-0.5,-2.1,89,7,4.0,100.98,11,Fog
12,2012-01-01 12:00:00,2012-01-01 12:00:00,12,12,1,1,2012,,-0.2,-2.0,88,9,4.8,100.79,12,Fog
13,2012-01-01 13:00:00,2012-01-01 13:00:00,13,13,1,1,2012,,0.2,-1.7,87,13,4.8,100.58,13,Fog
14,2012-01-01 14:00:00,2012-01-01 14:00:00,14,14,1,1,2012,,0.8,-1.1,87,20,4.8,100.31,14,Fog
15,2012-01-01 15:00:00,2012-01-01 15:00:00,15,15,1,1,2012,,1.8,-0.4,85,22,6.4,100.07,15,Fog
16,2012-01-01 16:00:00,2012-01-01 16:00:00,16,16,1,1,2012,,2.6,-0.2,82,13,12.9,99.93,16,Mostly Cloudy
17,2012-01-01 17:00:00,2012-01-01 17:00:00,17,17,1,1,2012,,3.0,0.0,81,13,16.1,99.81,17,Cloudy
18,2012-01-01 18:00:00,2012-01-01 18:00:00,18,18,1,1,2012,,3.8,1.0,82,15,12.9,99.74,18,Rain
19,2012-01-01 19:00:00,2012-01-01 19:00:00,19,19,1,1,2012,,3.1,1.3,88,15,12.9,99.68,19,Rain
20,2012-01-01 20:00:00,2012-01-01 20:00:00,20,20,1,1,2012,,3.2,1.3,87,19,25.0,99.5,20,Cloudy
21,2012-01-01 21:00:00,2012-01-01 21:00:00,21,21,1,1,2012,,4.0,1.7,85,20,25.0,99.39,21,Cloudy
22,2012-01-01 22:00:00,2012-01-01 22:00:00,22,22,1,1,2012,,4.4,1.9,84,24,19.3,99.32,22,Rain Showers
23,2012-01-01 23:00:00,2012-01-01 23:00:00,23,23,1,1,2012,,5.3,2.0,79,30,25.0,99.31,23,Cloudy
24,2012-01-02 00:00:00,2012-01-02 00:00:00,24,0,2,1,2012,,5.2,1.5,77,35,25.0,99.26,24,Rain Showers
25,2012-01-02 01:00:00,2012-01-02 01:00:00,25,1,2,1,2012,,4.6,0.0,72,39,25.0,99.26,25,Cloudy
26,2012-01-02 02:00:00,2012-01-02 02:00:00,26,2,2,1,2012,,3.9,-0.9,71,32,25.0,99.26,26,Mostly Cloudy
27,2012-01-02 03:00:00,2012-01-02 03:00:00,27,3,2,1,2012,,3.7,-1.5,69,33,25.0,99.3,27,Mostly Cloudy
28,2012-01-02 04:00:00,2012-01-02 04:00:00,28,4,2,1,2012,,2.9,-2.3,69,32,25.0,99.26,28,Mostly Cloudy
29,2012-01-02 05:00:00,2012-01-02 05:00:00,29,5,2,1,2012,,2.6,-2.3,70,32,25.0,99.21,29,Mostly Cloudy
